0,true
1,false
2,false
3,true
4,true
5,true
6,false
7,false
8,false
9,false
10,true
11,false
12,true
13,true
14,false
15,true
16,false
17,false
18,true
19,true
20,false
21,false
22,true
23,false
24,true
25,false
26,false
27,false
28,true
29,false
30,false
31,true
32,false
33,false
34,false
35,false
36,true
37,false
38,true
39,false
40,false
41,false
42,false
43,false
44,false
45,false
46,true
47,false
48,true
49,false
50,true
51,false
52,true
53,false
54,true
55,true
56,true
57,false
58,false
59,false
60,false
61,false
62,true
63,false
64,false
65,false
66,false
67,false
68,true
69,false
70,false
71,false
72,false
73,false
74,false
75,true
76,true
77,true
78,true
79,false
80,false
81,true
82,true
83,false
84,true
85,false
86,true
87,true
88,false
89,true
90,false
91,false
92,false
93,false
94,false
95,false
96,true
97,false
98,false
99,false
