TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
Problem3,BRANCH,0.3531861724281549,2401,849
Problem3,BRANCH,0.28987921699291963,2401,695
Problem3,BRANCH,0.3102873802582257,2401,745
Problem3,BRANCH,0.3256976259891712,2401,782
Problem3,BRANCH,0.3685964181591004,2401,885
Problem3,BRANCH,0.3215326947105373,2401,772
Problem3,BRANCH,0.29321116201582675,2401,696
Problem3,BRANCH,0.2911286963765098,2401,698
Problem3,BRANCH,0.2886297376093295,2401,694
Problem3,BRANCH,0.31945022907122034,2401,767
Problem3,BRANCH,0.29321116201582675,2401,685
